fromstn,fromhgt,tostn,tohgt,date,obsset,ha_value,ha_error,zd_value,zd_error,sd_value,sd_error,lv_value,lv_error,isetupid,tsetupid,fbsource,rawsource
WASE,1.621,TWSE,0.8000,2015-03-17,1,,,94.91736,0.00028,,,,,S1,,constants.csv+fieldbook_antenna12.csv:20,12AZIA.RAW: 0003/0010
WASE,1.621,TWSE,1.2000,2015-03-17,1,,,92.84379,0.00028,,,,,S1,,constants.csv+fieldbook_antenna12.csv:20,12AZIA.RAW: 0004/0009
WASE,1.621,TWSE,1.6000,2015-03-17,1,,,90.76194,0.00028,,,,,S1,,constants.csv+fieldbook_antenna12.csv:20,12AZIA.RAW: 0005/0008
WASE,1.621,TWSE,2.0000,2015-03-17,1,,,88.67946,0.00028,,,,,S1,,constants.csv+fieldbook_antenna12.csv:20,12AZIA.RAW: 0006/0007
WASE,1.621,TWSE,0.8000,2015-03-17,2,,,94.91682,0.00028,,,,,S1,,constants.csv+fieldbook_antenna12.csv:21,12AZIA.RAW: 0011/0019
WASE,1.621,TWSE,1.2000,2015-03-17,2,,,92.84390,0.00028,,,,,S1,,constants.csv+fieldbook_antenna12.csv:21,12AZIA.RAW: 0012/0018
WASE,1.621,TWSE,1.6000,2015-03-17,2,,,90.76374,0.00028,,,,,S1,,constants.csv+fieldbook_antenna12.csv:21,12AZIA.RAW: 0013/0017
WASE,1.621,TWSE,2.0000,2015-03-17,2,,,88.68185,0.00028,,,,,S1,,constants.csv+fieldbook_antenna12.csv:21,12AZIA.RAW: 0014/0016
WASE,1.621,WASW,1.622,2015-03-17,3,0.00061,0.00028,90.72003,0.00028,28.2516,0.0001,,,S1,T1,constants.csv+fieldbook_antenna12.csv:23,12AZIA.RAW: 0020/0027
WASE,1.621,34W3,0.000,2015-03-17,3,39.36301,0.00028,78.21178,0.00028,20.9653,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:23,12AZIA.RAW: 0021/0026
WASE,1.621,34W4,0.000,2015-03-17,3,41.30601,0.00028,80.15467,0.00028,20.8710,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:23,12AZIA.RAW: 0022/0025
WASE,1.621,34W1,0.000,2015-03-17,3,42.40696,0.00028,80.28876,0.00028,21.9953,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:23,12AZIA.RAW: 0023/0024
WASE,1.621,WASW,1.622,2015-03-17,4,0.00069,0.00028,90.71989,0.00028,28.2517,0.0001,,,S1,T1,constants.csv+fieldbook_antenna12.csv:24,12AZIA.RAW: 0028/0033
WASE,1.621,32W3,0.000,2015-03-17,4,40.54167,0.00028,78.19407,0.00028,20.9330,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:24,12AZIA.RAW: 0029/0032
WASE,1.621,32W4,0.000,2015-03-17,4,42.30556,0.00028,80.25486,0.00028,21.0828,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:24,12AZIA.RAW: 0030/0031
WASE,1.621,WASW,1.622,2015-03-17,5,359.99908,0.00028,90.71965,0.00028,28.2518,0.0001,,,S1,T1,constants.csv+fieldbook_antenna12.csv:25,12AZIA.RAW: 0034/0041
WASE,1.621,30W5,0.000,2015-03-17,5,37.69879,0.00028,77.94328,0.00028,22.1097,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:25,12AZIA.RAW: 0035/0040
WASE,1.621,30W3,0.000,2015-03-17,5,41.66862,0.00028,78.26222,0.00028,21.0518,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:25,12AZIA.RAW: 0036/0039
WASE,1.621,30W4,0.000,2015-03-17,5,43.01678,0.00028,80.40522,0.00028,21.4074,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:25,12AZIA.RAW: 0037/0038
WASE,1.621,WASW,1.622,2015-03-17,6,0.00161,0.00028,90.72011,0.00028,28.2518,0.0001,,,S1,T1,constants.csv+fieldbook_antenna12.csv:26,12AZIA.RAW: 0042/0049
WASE,1.621,28W5,0.000,2015-03-17,6,37.90810,0.00028,77.76767,0.00028,21.7968,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:26,12AZIA.RAW: 0043/0048
WASE,1.621,28W3,0.000,2015-03-17,6,42.59458,0.00028,78.40442,0.00028,21.3052,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:26,12AZIA.RAW: 0044/0047
WASE,1.621,28W4,0.000,2015-03-17,6,43.36319,0.00028,80.58040,0.00028,21.8017,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:26,12AZIA.RAW: 0045/0046
WASE,1.621,WASW,1.622,2015-03-17,7,0.00224,0.00028,90.71974,0.00028,28.2518,0.0001,,,S1,T1,constants.csv+fieldbook_antenna12.csv:28,12AZIA.RAW: 0050/0057
WASE,1.621,26W5,0.000,2015-03-17,7,38.40824,0.00028,77.61360,0.00028,21.5307,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:28,12AZIA.RAW: 0051/0056
WASE,1.621,26W3,0.000,2015-03-17,7,43.19747,0.00028,78.59558,0.00028,21.6584,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:28,12AZIA.RAW: 0052/0055
WASE,1.621,26W4,0.000,2015-03-17,7,43.31967,0.00028,80.75763,0.00028,22.2155,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:28,12AZIA.RAW: 0053/0054
WASE,1.621,WASW,1.622,2015-03-17,8,0.00317,0.00028,90.72043,0.00028,28.2517,0.0001,,,S1,T1,constants.csv+fieldbook_antenna12.csv:29,12AZIA.RAW: 0058/0065
WASE,1.621,24W6,0.000,2015-03-17,8,37.47933,0.00028,83.50213,0.00028,22.1584,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:29,12AZIA.RAW: 0059/0064
WASE,1.621,24W5,0.000,2015-03-17,8,39.14321,0.00028,77.50354,0.00028,21.3447,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:29,12AZIA.RAW: 0060/0063
WASE,1.621,24W3,0.000,2015-03-17,8,43.41719,0.00028,78.80922,0.00028,22.0654,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:29,12AZIA.RAW: 0061/0062
WASE,1.621,WASW,1.622,2015-03-17,9,0.00292,0.00028,90.72021,0.00028,28.2517,0.0001,,,S1,T1,constants.csv+fieldbook_antenna12.csv:30,12AZIA.RAW: 0066/0073
WASE,1.621,22W6,0.000,2015-03-17,9,37.33628,0.00028,83.39190,0.00028,21.7879,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:30,12AZIA.RAW: 0067/0072
WASE,1.621,22W5,0.000,2015-03-17,9,40.02189,0.00028,77.45519,0.00028,21.2636,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:30,12AZIA.RAW: 0068/0071
WASE,1.621,22W3,0.000,2015-03-17,9,43.24537,0.00028,79.01615,0.00028,22.4755,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:30,12AZIA.RAW: 0069/0070
WASE,1.621,WASW,1.622,2015-03-17,10,0.00526,0.00028,90.72007,0.00028,28.2519,0.0001,,,S1,T1,constants.csv+fieldbook_antenna12.csv:31,12AZIA.RAW: 0074/0081
WASE,1.621,20W6,0.000,2015-03-17,10,37.54297,0.00028,83.27825,0.00028,21.4219,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:31,12AZIA.RAW: 0075/0080
WASE,1.621,20W1,0.000,2015-03-17,10,38.61864,0.00028,80.54372,0.00028,22.5824,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:31,12AZIA.RAW: 0076/0079
WASE,1.621,20W5,0.000,2015-03-17,10,40.92546,0.00028,77.47665,0.00028,21.2993,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:31,12AZIA.RAW: 0077/0078
WASE,1.621,WASW,1.622,2015-03-17,11,0.00514,0.00028,90.72017,0.00028,28.2518,0.0001,,,S1,T1,constants.csv+fieldbook_antenna12.csv:33,12AZIA.RAW: 0082/0089
WASE,1.621,18W6,0.000,2015-03-17,11,38.08626,0.00028,83.17642,0.00028,21.1050,0.0001,,,S1,,constants.csv+fieldbook_antenna12.csv:33,12AZIA.RAW: 0083/0088
