fromstn,tostn,fromhgt,tohgt,obstype,obsset,obsdate,value,error,calcval,residual,reserr,stdres
WAN3,WAS3,1.62,1.6,HA,36,2015-03-15 00:00:00,17.756990,0.000980,17.756696,0.000294,0.000845,0.3483
WAN3,WANE,1.62,1.7,SD,37,2015-03-15 00:00:00,227.686000,0.000190,227.685947,0.000053,0.000180,0.2933
WAN3,WANE,1.62,1.7,ZD,38,2015-03-15 00:00:00,84.580440,0.000728,84.580765,-0.000325,0.000707,0.4599
WAN3,WANW,1.62,1.68,SD,39,2015-03-15 00:00:00,227.364500,0.000190,227.364438,0.000062,0.000181,0.3400
WAN3,WANW,1.62,1.68,ZD,40,2015-03-15 00:00:00,84.475260,0.000728,84.475243,0.000017,0.000708,0.0242
WAN3,WAW2,1.62,1.58,SD,41,2015-03-15 00:00:00,188.363300,0.000190,188.363545,-0.000245,0.000184,1.3265
WAN3,WAW2,1.62,1.58,ZD,42,2015-03-15 00:00:00,86.663060,0.000728,86.663373,-0.000313,0.000699,0.4482
WAN3,WAS3,1.62,1.6,SD,43,2015-03-15 00:00:00,88.960100,0.000190,88.960223,-0.000123,0.000188,0.6522
WAN3,WAS3,1.62,1.6,ZD,44,2015-03-15 00:00:00,87.916060,0.000728,87.916258,-0.000198,0.000655,0.3026
WAN3,WANE,1.62,1.7,HA,45,2015-03-15 00:00:00,359.998860,0.000980,359.998960,-0.000100,0.000848,0.1175
WAN3,WANW,1.62,1.68,HA,45,2015-03-15 00:00:00,5.774530,0.000980,5.774354,0.000176,0.000848,0.2073
WAN3,WAW2,1.62,1.58,HA,45,2015-03-15 00:00:00,11.971490,0.000980,11.971721,-0.000231,0.000848,0.2718
WAN3,WAS3,1.62,1.6,HA,45,2015-03-15 00:00:00,17.756330,0.000980,17.756176,0.000154,0.000845,0.1826
WAS3,WANE,1.6,1.7,SD,46,2015-03-15 00:00:00,145.717700,0.000190,145.717516,0.000184,0.000179,1.0292
WAS3,WANE,1.6,1.7,ZD,47,2015-03-15 00:00:00,82.797190,0.000728,82.796818,0.000372,0.000695,0.5357
WAS3,WANW,1.6,1.68,SD,48,2015-03-15 00:00:00,141.793500,0.000190,141.793325,0.000175,0.000180,0.9720
WAS3,WANW,1.6,1.68,ZD,49,2015-03-15 00:00:00,82.439250,0.000728,82.438833,0.000417,0.000699,0.5964
WAS3,WAW2,1.6,1.58,SD,50,2015-03-15 00:00:00,100.295900,0.000190,100.296044,-0.000144,0.000185,0.7776
WAS3,WAW2,1.6,1.58,ZD,51,2015-03-15 00:00:00,85.578930,0.000728,85.579225,-0.000295,0.000675,0.4373
WAS3,WAN3,1.6,1.62,SD,52,2015-03-15 00:00:00,88.960000,0.000190,88.960168,-0.000168,0.000188,0.8938
WAS3,WAN3,1.6,1.62,ZD,53,2015-03-15 00:00:00,92.083670,0.000728,92.083457,0.000213,0.000655,0.3258
WAS3,WANE,1.6,1.7,HA,54,2015-03-15 00:00:00,359.999760,0.000980,359.999411,0.000349,0.000848,0.4121
WAS3,WANW,1.6,1.68,HA,54,2015-03-15 00:00:00,9.039760,0.000980,9.039699,0.000061,0.000848,0.0721
WAS3,WAW2,1.6,1.58,HA,54,2015-03-15 00:00:00,17.640820,0.000980,17.641247,-0.000427,0.000846,0.5046
WAS3,WAN3,1.6,1.62,HA,54,2015-03-15 00:00:00,208.566470,0.000980,208.566453,0.000017,0.000838,0.0197
WAS3,WANE,1.6,1.7,SD,55,2015-03-15 00:00:00,145.717600,0.000190,145.717516,0.000084,0.000179,0.4699
WAS3,WANE,1.6,1.7,ZD,56,2015-03-15 00:00:00,82.797360,0.000728,82.796818,0.000542,0.000695,0.7802
WAS3,WANW,1.6,1.68,SD,57,2015-03-15 00:00:00,141.793300,0.000190,141.793325,-0.000025,0.000180,0.1413
WAS3,WANW,1.6,1.68,ZD,58,2015-03-15 00:00:00,82.439500,0.000728,82.438833,0.000667,0.000699,0.9543
WAS3,WAW2,1.6,1.58,SD,59,2015-03-15 00:00:00,100.295900,0.000190,100.296044,-0.000144,0.000185,0.7776
WAS3,WAW2,1.6,1.58,ZD,60,2015-03-15 00:00:00,85.578750,0.000728,85.579225,-0.000475,0.000675,0.7040
WAS3,WAN3,1.6,1.62,SD,61,2015-03-15 00:00:00,88.960000,0.000190,88.960168,-0.000168,0.000188,0.8938
WAS3,WAN3,1.6,1.62,ZD,62,2015-03-15 00:00:00,92.083860,0.000728,92.083457,0.000403,0.000655,0.6161
WAS3,WANE,1.6,1.7,HA,63,2015-03-15 00:00:00,359.999740,0.000980,359.999591,0.000149,0.000848,0.1762
WAS3,WANW,1.6,1.68,HA,63,2015-03-15 00:00:00,9.040040,0.000980,9.039879,0.000161,0.000848,0.1901
WAS3,WAW2,1.6,1.58,HA,63,2015-03-15 00:00:00,17.641180,0.000980,17.641427,-0.000247,0.000846,0.2919
WAS3,WAN3,1.6,1.62,HA,63,2015-03-15 00:00:00,208.566570,0.000980,208.566633,-0.000063,0.000838,0.0757
WAS3,WANE,1.6,1.7,SD,64,2015-03-15 00:00:00,145.717600,0.000190,145.717516,0.000084,0.000179,0.4699
WAS3,WANE,1.6,1.7,ZD,65,2015-03-15 00:00:00,82.797360,0.000728,82.796818,0.000542,0.000695,0.7802
WAS3,WANW,1.6,1.68,SD,66,2015-03-15 00:00:00,141.793400,0.000190,141.793325,0.000075,0.000180,0.4153
WAS3,WANW,1.6,1.68,ZD,67,2015-03-15 00:00:00,82.439140,0.000728,82.438833,0.000307,0.000699,0.4390
WAS3,WAW2,1.6,1.58,SD,68,2015-03-15 00:00:00,100.295900,0.000190,100.296044,-0.000144,0.000185,0.7776
WAS3,WAW2,1.6,1.58,ZD,69,2015-03-15 00:00:00,85.578810,0.000728,85.579225,-0.000415,0.000675,0.6151
WAS3,WAN3,1.6,1.62,SD,70,2015-03-15 00:00:00,88.960000,0.000190,88.960168,-0.000168,0.000188,0.8938
WAS3,WAN3,1.6,1.62,ZD,71,2015-03-15 00:00:00,92.083380,0.000728,92.083457,-0.000077,0.000655,0.1172
WAS3,WANE,1.6,1.7,HA,72,2015-03-15 00:00:00,0.000240,0.000980,0.000123,0.000117,0.000848,0.1378
WAS3,WANW,1.6,1.68,HA,72,2015-03-15 00:00:00,9.040440,0.000980,9.040411,0.000029,0.000848,0.0337
WAS3,WAW2,1.6,1.58,HA,72,2015-03-15 00:00:00,17.641470,0.000980,17.641959,-0.000489,0.000846,0.5785
WAS3,WAN3,1.6,1.62,HA,72,2015-03-15 00:00:00,208.567510,0.000980,208.567166,0.000344,0.000838,0.4104
WAS3,WANE,1.6,1.7,SD,73,2015-03-15 00:00:00,145.717500,0.000190,145.717516,-0.000016,0.000179,0.0894
WAS3,WANE,1.6,1.7,ZD,74,2015-03-15 00:00:00,82.797260,0.000728,82.796818,0.000442,0.000695,0.6364
WAS3,WANW,1.6,1.68,SD,75,2015-03-15 00:00:00,141.793400,0.000190,141.793325,0.000075,0.000180,0.4153
WAS3,WANW,1.6,1.68,ZD,76,2015-03-15 00:00:00,82.439430,0.000728,82.438833,0.000597,0.000699,0.8541
WAS3,WAW2,1.6,1.58,SD,77,2015-03-15 00:00:00,100.295900,0.000190,100.296044,-0.000144,0.000185,0.7776
WAS3,WAW2,1.6,1.58,ZD,78,2015-03-15 00:00:00,85.578250,0.000728,85.579225,-0.000975,0.000675,1.4449
WAS3,WAN3,1.6,1.62,SD,79,2015-03-15 00:00:00,88.960100,0.000190,88.960168,-0.000068,0.000188,0.3618
WAS3,WAN3,1.6,1.62,ZD,80,2015-03-15 00:00:00,92.083560,0.000728,92.083457,0.000103,0.000655,0.1578
WAS3,WANE,1.6,1.7,HA,81,2015-03-15 00:00:00,0.000250,0.000980,0.000043,0.000207,0.000848,0.2440
WAS3,WANW,1.6,1.68,HA,81,2015-03-15 00:00:00,9.040370,0.000980,9.040331,0.000039,0.000848,0.0455
WAS3,WAW2,1.6,1.58,HA,81,2015-03-15 00:00:00,17.641400,0.000980,17.641879,-0.000479,0.000846,0.5667
WAS3,WAN3,1.6,1.62,HA,81,2015-03-15 00:00:00,208.567320,0.000980,208.567086,0.000234,0.000838,0.2792
WAS3,WANE,1.6,1.7,SD,82,2015-03-15 00:00:00,145.717600,0.000190,145.717516,0.000084,0.000179,0.4699
WAS3,WANE,1.6,1.7,ZD,83,2015-03-15 00:00:00,82.796990,0.000728,82.796818,0.000172,0.000695,0.2479
WAS3,WANW,1.6,1.68,SD,84,2015-03-15 00:00:00,141.793300,0.000190,141.793325,-0.000025,0.000180,0.1413
WAS3,WANW,1.6,1.68,ZD,85,2015-03-15 00:00:00,82.439500,0.000728,82.438833,0.000667,0.000699,0.9543
WAS3,WAW2,1.6,1.58,SD,86,2015-03-15 00:00:00,100.295800,0.000190,100.296044,-0.000244,0.000185,1.3193
WAS3,WAW2,1.6,1.58,ZD,87,2015-03-15 00:00:00,85.578760,0.000728,85.579225,-0.000465,0.000675,0.6892
